BranchName,ApkVersion,GitName,ResourceConfigs,SignMode,ApkAreaVersion,MileStone,TranslationLabel,ReleaseDate,VersionCode,VersionName,BranchInfo,UploadAota,OfficialRelease,GoldenRelease
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagCalendar,platform,2018-05-21 12:26:26,I180521002,v1.0.1.0201.4_0521         
acuteag_dev_1.0.1,v1.0.1.0101.f,AcuteagLauncher,shared,2018-05-21 12:28:51,I180521002,v1.0.1.0101.f_0521         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagDeskClock,platform,2018-05-21 13:49:25,I180521002,v1.0.1.0201.9_0521         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagLockScreen,platform,2018-05-21 13:49:46,I180521002,v1.0.1.0201.2_0521         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagCellBroadcastReceiver,platform,2018-05-21 13:51:34,I180521002,v1.0.1.0101.3_0521         
acuteag_dev_1.0.1,v1.0.1.0201.b,AcuteagPackageInstaller,platform,2018-05-21 14:01:23,I180521002,v1.0.1.0201.b_0521         
acuteag_dev_1.0.1,v1.0.1.0201.b,AcuteagSystemUI,platform,2018-05-21 14:01:41,I180521002,v1.0.1.0201.b_0521         
acuteag_dev_1.0.1,v1.0.1.0101.e,AcuteagMms,platform,2018-05-21 14:30:05,I180521001,v1.0.1.0101.e_0521         
acuteag_dev_1.0.1,v1.0.1.0101.2,AcuteagMmsService,platform,2018-05-21 14:40:06,I180521001,v1.0.1.0101.2_0521         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagTelephonyProvider,platform,2018-05-21 14:43:45,I180521001,v1.0.1.0201.4_0521         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagFileManager,platform,2018-05-21 15:20:45,I180521002,v1.0.1.0101.5_0521         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagDialer,shared,2018-05-21 15:29:22,I180521001,v1.0.1.0101.5_0521         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagContactsProvider,shared,2018-05-21 15:49:42,I180521001,v1.0.1.0101.3_0521         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagInCallUI,platform,2018-05-21 16:52:27,I180521001,v1.0.1.0101.4_0521         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagReject,platform,2018-05-21 17:33:24,I180521001,v1.0.1.0101.4_0521         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagTelecomm,platform,2018-05-21 17:51:50,I180521001,v1.0.1.0101.4_0521         
acuteag_dev_1.0.1,v1.0.1.0201.a,AcuteagSettings,platform,2018-05-23 11:15:16,I180523001,v1.0.1.0201.a_0523         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagTelephony,platform,2018-05-23 11:19:49,I180523001,v1.0.1.0101.3_0523         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagDownloadProvider,media,2018-05-23 11:37:43,I180523002,v1.0.1.0201.3_0523         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagContacts,shared,2018-05-23 11:41:07,I180523001,v1.0.1.0101.5_0523         
acuteag_dev_1.0.1,v1.0.1.0201.c,AcuteagSystemUI,platform,2018-05-23 16:52:48,I180523002,v1.0.1.0201.c_0523         
